"","X1","uge","intervention","oms.y","oms_con","oms_con_total","diff","se","mean"
"1",1,2,"convenience_bags",21,2,20,-1,6.21123828318339,8.34782608695652
"2",2,2,"convenience_bags",101,7,149,48,6.21123828318339,8.34782608695652
"3",3,2,"convenience_bags",111,3,63,-48,6.21123828318339,8.34782608695652
"4",4,2,"convenience_bags",24,3,20,-4,6.21123828318339,8.34782608695652
"5",5,2,"convenience_bags",80,2,91,11,6.21123828318339,8.34782608695652
"6",6,2,"convenience_bags",43,3,53,10,6.21123828318339,8.34782608695652
"7",7,2,"convenience_bags",10,3,11,1,6.21123828318339,8.34782608695652
"8",8,2,"convenience_bags",13,2,16,3,6.21123828318339,8.34782608695652
"9",9,2,"convenience_bags",153,2,265,112,6.21123828318339,8.34782608695652
"10",10,2,"convenience_bags",40,2,51,11,6.21123828318339,8.34782608695652
"11",11,2,"convenience_bags",45,2,34,-11,6.21123828318339,8.34782608695652
"12",12,2,"convenience_bags",17,7,16,-1,6.21123828318339,8.34782608695652
"13",13,2,"convenience_bags",56,2,81,25,6.21123828318339,8.34782608695652
"14",14,2,"convenience_bags",1,7,7,6,6.21123828318339,8.34782608695652
"15",15,2,"convenience_bags",54,3,59,5,6.21123828318339,8.34782608695652
"16",16,2,"convenience_bags",89,2,104,15,6.21123828318339,8.34782608695652
"17",17,2,"convenience_bags",10,5,10,0,6.21123828318339,8.34782608695652
"18",18,2,"convenience_bags",26,2,42,16,6.21123828318339,8.34782608695652
"19",19,2,"convenience_bags",66,2,23,-43,6.21123828318339,8.34782608695652
"20",20,2,"convenience_bags",9,2,10,1,6.21123828318339,8.34782608695652
"21",21,2,"convenience_bags",4,7,20,16,6.21123828318339,8.34782608695652
"22",22,2,"convenience_bags",6,5,14,8,6.21123828318339,8.34782608695652
"23",23,2,"convenience_bags",8,7,20,12,6.21123828318339,8.34782608695652
