"","uge","vare","X3","intervention","oms","prod_cat"
"1","1","5700382516469","Courgette","nudge",149,"squash"
"2","1","5700382815340","<d8>ko 365 Guler<f8>dder 1","nudge",40,"carrots"
"3","1","5700383878061","San Marzanotomat","nudge",58,"tomato"
"4","1","5750006326691","<c4>ngla Broccoli","nudge",93,"broccoli"
"5","1","7340011481782","<d8>ko <c4>M HK Spinat","nudge",8,"spinage"
"6","1","7340011487906","<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","nudge",49,"chickpea"
"7","1","7340191112582","<d8>ko <c4>M Broccoli 400g","nudge",10,"broccoli"
"8","1","7340191112711","Coop HK spinat 1kg","nudge",10,"spinage"
"9","2","5700382516469","Courgette","reference",62,"squash"
"10","2","5700383878061","San Marzanotomat","reference",119,"tomato"
"11","2","5750006326691","<c4>ngla Broccoli","reference",40,"broccoli"
"12","2","7340011481782","<d8>ko <c4>M HK Spinat","reference",18,"spinage"
"13","2","7340011487906","<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","reference",62,"chickpea"
"14","2","7340191112582","<d8>ko <c4>M Broccoli 400g","reference",16,"broccoli"
